,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2PA_AVG,2P%_AVG,3P_AVG,3PA_AVG,3P%_AVG,FT_AVG,FTA_AVG,FT%_AVG,PTS_AVG,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2PA_AVG,2P%_AVG,3P_AVG,3PA_AVG,3P%_AVG,FT_AVG,FTA_AVG,FT%_AVG,PTS_AVG
0,2021/3/27,LAC,PHI,W 122-112,240,45,85,0.529,34,59,0.576,11,26,0.423,21,27,0.778,122,39,77,0.506,29,51,0.569,10,26,0.385,24,33,0.727,112,41.7,87.9,0.4748,26.8,51.9,0.517,14.9,36,0.4135,16.5,19.7,0.8325,114.8,39.8,84.3,0.4731,27.8,53.1,0.5246,12,31.2,0.3844,15.7,20.6,0.7788,107.3
1,2021/3/27,PHI,LAC,L 112-122,240,39,77,0.506,29,51,0.569,10,26,0.385,24,33,0.727,112,45,85,0.529,34,59,0.576,11,26,0.423,21,27,0.778,122,45,91.7,0.4913,33.5,61.9,0.5427,11.5,29.8,0.3937,15.5,21.4,0.7194,117,38.4,86.9,0.4429,28.2,58.5,0.482,10.2,28.4,0.3528,16.7,24.3,0.6883,103.7
2,2021/3/27,MIL,NYK,L 96-102,240,36,87,0.414,22,51,0.431,14,36,0.389,10,16,0.625,96,40,93,0.43,24,49,0.49,16,44,0.364,6,8,0.75,102,44.7,93,0.4812,29.7,54.5,0.5444,15,38.5,0.3891,16.1,20.2,0.7938,120.5,43.9,96.3,0.4583,29.6,56.5,0.5247,14.3,39.8,0.3581,13.2,15.9,0.8382,115.3
3,2021/3/27,NYK,MIL,W 102-96,240,40,93,0.43,24,49,0.49,16,44,0.364,6,8,0.75,102,36,87,0.414,22,51,0.431,14,36,0.389,10,16,0.625,96,38.9,87.7,0.4439,26.7,56,0.4761,12.2,31.7,0.3844,16.6,22.6,0.724,106.6,39.8,82.1,0.4857,27.9,50.4,0.5591,11.9,31.7,0.3733,16.4,22.2,0.7507,107.9
4,2021/3/27,HOU,MIN,W 129-107,240,50,92,0.543,32,53,0.604,18,39,0.462,11,13,0.846,129,36,85,0.424,23,45,0.511,13,40,0.325,22,28,0.786,107,38.1,90,0.4257,25.5,50.2,0.5081,12.6,39.8,0.3165,15.1,21.8,0.7105,103.9,41.6,88.7,0.4706,27.4,51.1,0.5405,14.2,37.6,0.3812,18.1,22.7,0.7985,115.5
5,2021/3/27,MIN,HOU,L 107-129,240,36,85,0.424,23,45,0.511,13,40,0.325,22,28,0.786,107,50,92,0.543,32,53,0.604,18,39,0.462,11,13,0.846,129,41.3,89.3,0.4645,29.1,53,0.5542,12.2,36.3,0.3374,18.7,24.7,0.7668,113.5,44,90.7,0.4856,29.1,53.7,0.539,14.9,37,0.4081,15.8,20.5,0.7736,118.7
6,2021/3/27,DAL,NOP,L 103-112,240,37,83,0.446,27,52,0.519,10,31,0.323,19,24,0.792,103,42,81,0.519,33,55,0.6,9,26,0.346,19,29,0.655,112,41,85.3,0.4816,26.2,46,0.574,14.8,39.3,0.3772,13.5,17.3,0.7907,110.3,37.9,88,0.4307,24,50.3,0.4771,13.9,37.7,0.3699,13.6,17.7,0.7594,103.3
7,2021/3/27,NOP,DAL,W 112-103,240,42,81,0.519,33,55,0.6,9,26,0.346,19,29,0.655,112,37,83,0.446,27,52,0.519,10,31,0.323,19,24,0.792,103,42.8,87.3,0.4921,33.1,57,0.5796,9.7,30.3,0.3229,18.6,24.3,0.7748,113.9,40.5,86.8,0.4668,26.6,51,0.5269,13.9,35.8,0.3889,17.2,20.5,0.827,112.1
8,2021/3/27,BOS,OKC,W 111-94,240,44,96,0.458,32,58,0.552,12,38,0.316,11,14,0.786,111,34,83,0.41,23,45,0.511,11,38,0.289,15,24,0.625,94,43.9,89.4,0.4932,28.2,50.6,0.5586,15.7,38.8,0.403,13.4,18.2,0.7825,116.9,41.3,88.8,0.4655,25.7,49.7,0.5142,15.6,39.1,0.3999,17.5,22.9,0.7565,115.7
9,2021/3/27,OKC,BOS,L 94-111,240,34,83,0.41,23,45,0.511,11,38,0.289,15,24,0.625,94,44,96,0.458,32,58,0.552,12,38,0.316,11,14,0.786,111,38.8,86.8,0.45,26.3,52.9,0.5039,12.5,33.9,0.3716,15.3,19.9,0.7716,105.4,41.7,88.3,0.4717,30.1,54.5,0.552,11.6,33.8,0.3442,15.8,20.4,0.7971,110.8
