,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
0,2021/3/13,ATL,SAC,W 121-106,240,43,84,0.512,31,51,0.608,12,33,0.364,23,33,0.697,121,43,98,0.439,36,62,0.581,7,36,0.194,13,16,0.813,106
1,2021/3/13,SAC,ATL,L 106-121,240,43,98,0.439,36,62,0.581,7,36,0.194,13,16,0.813,106,43,84,0.512,31,51,0.608,12,33,0.364,23,33,0.697,121
2,2021/3/13,BRK,DET,W 100-95,240,39,81,0.481,33,54,0.611,6,27,0.222,16,22,0.727,100,36,89,0.404,28,57,0.491,8,32,0.25,15,20,0.75,95
3,2021/3/13,DET,BRK,L 95-100,240,36,89,0.404,28,57,0.491,8,32,0.25,15,20,0.75,95,39,81,0.481,33,54,0.611,6,27,0.222,16,22,0.727,100
4,2021/3/13,CHO,TOR,W 114-104,240,39,80,0.488,18,31,0.581,21,49,0.429,15,19,0.789,114,37,96,0.385,22,50,0.44,15,46,0.326,15,18,0.833,104
5,2021/3/13,TOR,CHO,L 104-114,240,37,96,0.385,22,50,0.44,15,46,0.326,15,18,0.833,104,39,80,0.488,18,31,0.581,21,49,0.429,15,19,0.789,114
6,2021/3/13,DAL,DEN,W 116-103,240,42,86,0.488,24,40,0.6,18,46,0.391,14,16,0.875,116,37,90,0.411,21,49,0.429,16,41,0.39,13,18,0.722,103
7,2021/3/13,DEN,DAL,L 103-116,240,37,90,0.411,21,49,0.429,16,41,0.39,13,18,0.722,103,42,86,0.488,24,40,0.6,18,46,0.391,14,16,0.875,116
8,2021/3/13,MIN,POR,L 121-125,240,44,86,0.512,34,60,0.567,10,26,0.385,23,31,0.742,121,43,89,0.483,30,49,0.612,13,40,0.325,26,30,0.867,125
9,2021/3/13,POR,MIN,W 125-121,240,43,89,0.483,30,49,0.612,13,40,0.325,26,30,0.867,125,44,86,0.512,34,60,0.567,10,26,0.385,23,31,0.742,121
10,2021/3/13,NYK,OKC,W 119-97,240,44,91,0.484,30,56,0.536,14,35,0.4,17,22,0.773,119,37,76,0.487,29,44,0.659,8,32,0.25,15,21,0.714,97
11,2021/3/13,OKC,NYK,L 97-119,240,37,76,0.487,29,44,0.659,8,32,0.25,15,21,0.714,97,44,91,0.484,30,56,0.536,14,35,0.4,17,22,0.773,119
12,2021/3/13,IND,PHO,W 122-111,240,46,87,0.529,33,59,0.559,13,28,0.464,17,21,0.81,122,43,91,0.473,31,60,0.517,12,31,0.387,13,17,0.765,111
13,2021/3/13,PHO,IND,L 111-122,240,43,91,0.473,31,60,0.517,12,31,0.387,13,17,0.765,111,46,87,0.529,33,59,0.559,13,28,0.464,17,21,0.81,122
14,2021/3/13,MIL,WAS,W 125-119,240,43,99,0.434,26,54,0.481,17,45,0.378,22,25,0.88,125,43,94,0.457,27,53,0.509,16,41,0.39,17,22,0.773,119
15,2021/3/13,WAS,MIL,L 119-125,240,43,94,0.457,27,53,0.509,16,41,0.39,17,22,0.773,119,43,99,0.434,26,54,0.481,17,45,0.378,22,25,0.88,125
16,2021/3/12,CHI,MIA,L 90-101,240,34,91,0.374,19,53,0.358,15,38,0.395,7,7,1,90,37,80,0.463,25,45,0.556,12,35,0.343,15,20,0.75,101
17,2021/3/12,MIA,CHI,W 101-90,240,37,80,0.463,25,45,0.556,12,35,0.343,15,20,0.75,101,34,91,0.374,19,53,0.358,15,38,0.395,7,7,1,90
18,2021/3/12,IND,LAL,L 100-105,240,37,88,0.42,29,52,0.558,8,36,0.222,18,21,0.857,100,34,76,0.447,27,54,0.5,7,22,0.318,30,39,0.769,105
19,2021/3/12,LAL,IND,W 105-100,240,34,76,0.447,27,54,0.5,7,22,0.318,30,39,0.769,105,37,88,0.42,29,52,0.558,8,36,0.222,18,21,0.857,100
20,2021/3/12,DEN,MEM,W 103-102,240,41,92,0.446,28,55,0.509,13,37,0.351,8,11,0.727,103,40,87,0.46,26,59,0.441,14,28,0.5,8,8,1,102
21,2021/3/12,MEM,DEN,L 102-103,240,40,87,0.46,26,59,0.441,14,28,0.5,8,8,1,102,41,92,0.446,28,55,0.509,13,37,0.351,8,11,0.727,103
22,2021/3/12,CLE,NOP,L 82-116,240,30,88,0.341,23,56,0.411,7,32,0.219,15,20,0.75,82,47,101,0.465,41,77,0.532,6,24,0.25,16,19,0.842,116
23,2021/3/12,NOP,CLE,W 116-82,240,47,101,0.465,41,77,0.532,6,24,0.25,16,19,0.842,116,30,88,0.341,23,56,0.411,7,32,0.219,15,20,0.75,82
24,2021/3/12,ORL,SAS,L 77-104,240,29,80,0.363,19,42,0.452,10,38,0.263,9,12,0.75,77,40,89,0.449,30,60,0.5,10,29,0.345,14,18,0.778,104
25,2021/3/12,SAS,ORL,W 104-77,240,40,89,0.449,30,60,0.5,10,29,0.345,14,18,0.778,104,29,80,0.363,19,42,0.452,10,38,0.263,9,12,0.75,77
26,2021/3/12,HOU,UTA,L 99-114,240,41,111,0.369,32,68,0.471,9,43,0.209,8,13,0.615,99,39,81,0.481,24,41,0.585,15,40,0.375,21,25,0.84,114
27,2021/3/12,UTA,HOU,W 114-99,240,39,81,0.481,24,41,0.585,15,40,0.375,21,25,0.84,114,41,111,0.369,32,68,0.471,9,43,0.209,8,13,0.615,99
28,2021/3/12,PHI,WAS,W 127-101,240,49,90,0.544,38,69,0.551,11,21,0.524,18,18,1,127,40,82,0.488,32,58,0.552,8,24,0.333,13,22,0.591,101
29,2021/3/12,WAS,PHI,L 101-127,240,40,82,0.488,32,58,0.552,8,24,0.333,13,22,0.591,101,49,90,0.544,38,69,0.551,11,21,0.524,18,18,1,127
30,2021/3/11,BOS,BRK,L 109-121,240,41,91,0.451,28,51,0.549,13,40,0.325,14,22,0.636,109,42,88,0.477,23,46,0.5,19,42,0.452,18,22,0.818,121
31,2021/3/11,BRK,BOS,W 121-109,240,42,88,0.477,23,46,0.5,19,42,0.452,18,22,0.818,121,41,91,0.451,28,51,0.549,13,40,0.325,14,22,0.636,109
32,2021/3/11,CHI,PHI,L 105-127,240,39,83,0.47,25,54,0.463,14,29,0.483,13,16,0.813,105,53,103,0.515,43,70,0.614,10,33,0.303,11,15,0.733,127
33,2021/3/11,PHI,CHI,W 127-105,240,53,103,0.515,43,70,0.614,10,33,0.303,11,15,0.733,127,39,83,0.47,25,54,0.463,14,29,0.483,13,16,0.813,105
